item_id,L1,en_target_word,en_target_pos,en_target_clue,L1_source_word,L1_context,GLMM_score,en_context
1,de,span,noun,s___,Zeitraum,Über einen Zeitraum von fünf Monaten wurden Zeugenaussagen gesammelt und Beweise sichergestellt.,-2.76940803,Witness statements were collected and evidence seized over a period of five months.
2,de,radically,adverb,r________,"fundamental, völlig",Nach unserem Gespräch hat sich seine Einstellung fundamental geändert.,-1.567125557,"After our conversation, his attitude changed fundamentally."
3,de,supermarket,noun,s__________,Supermarkt,Die Frau geht in dem Supermarkt einkaufen. ,1.578899839,The woman goes shopping in the supermarket.
4,de,airplane,noun,a_______,Flugzeug (nicht: aircraft),Der Pilot flog das Flugzeug.,0.127510273,The pilot was flying the plane.
5,de,trying,adjective,t_____,"schwierig, anstrengend","Seine Kinder sind ziemlich anstrengend. (NICHT taxing, NICHT tiring)",-3.642623474,"His children are quite demanding. (NOT taxing, NOT tiring)"
6,de,racing,noun,r_____,Rennsport,Als aktiver Fahrer konnte er schon viel Erfahrung im Rennsport sammeln.,0.197889082,"As an active driver, he has already gained a lot of experience in racing."
7,de,sleep,verb,s____,schlafen,"Ich schlafe schon seit Jahren hervorragend dank der Matratze, die wir damals gekauft haben.",2.704855899,I've had great sleep for years thanks to the mattress we bought back then.
8,de,military,noun,m_______,Militär,Er ist ein wichtiger Offizier beim Militär.,0.544554828,He is an important officer in the military.
9,de,capacity,noun,c_______,"Fassungsvermögen, Rauminhalt, Volumen",Dieser Tank hat ein Fassungsvermögen von dreißig Litern.,-2.044385253,This tank has a capacity of thirty liters.
10,de,cane,noun,c___,Rohr-,Ich verwende hauptsächlich Rohrzucker.,-1.344922248,I mainly use cane sugar.
11,de,knock,verb,k____,"gegen etw stoßen, sich anstoßen",Rosa hat sich ihr Knie an der Tür angestoßen.,-0.47525357,Rosa hit her knee on the door.
12,de,hallway,noun,h______,"Korridor, Flur, Gang","Die Schüler müssen den langen Flur entlang laufen, um ins Chemielabor zu gelangen. ",-0.446275153,Students have to walk down the long hallway to get to the chemistry lab.
13,de,displayed,adjective,d________,"ausgelegt, ausgehängt",Die Nachfrage nach den ausgelegten Uhren war groß.,-1.755048423,The demand for the watches on display was great.
14,de,challenging,adjective,c__________,"herausfordernd, fordernd",Die herausfordernde Aufgabe konnte gut bewältigt werden.,-0.388801358,The challenging task was managed well.
15,de,missionary,noun,m_________,Missionar,Sie arbeitete als Missionarin für viele Jahre in Afrika.,-0.859479017,She worked as a missionary for many years in Africa.
16,de,tall,adjective,t___,groß,Er war ein großer und dünner Mann.,1.25600929,He was a tall and thin man.
17,de,fade,verb,f___,"ausbleichen, verblassen",Die Operationsnarbe verblasst.,-0.185057379,The surgical scar fades.
18,de,street,noun,s_____,Straße,In dieser Straße wurde Beethoven geboren.,3.406414525,Beethoven was born on this street.
19,de,wrist,noun,w____,Handgelenk,Ich habe mir das Handgelenk verstaucht.,0.359557952,I sprained my wrist.
20,de,present,adjective,p______,derzeitig,In seinem derzeitigen Zustand sollte er sich nicht zu sehr aufregen.,-0.077003042,"In his current state, he shouldn't get too upset."
21,de,softball,noun,s_______,Softball,Softball ist sehr ähnlich wie Baseball und bei vielen Amerikanern sehr beliebt.,2.154828071,Softball is very similar to baseball and is very popular among many Americans.
22,de,sit,verb,s__,sitzen,"Den Kindern war so langweilig, dass sie kaum mehr sitzen wollten.",2.631080844,The children were so bored that they hardly wanted to sit anymore.
23,de,stance,noun,s_____,Einstellung [nicht: stand],Was ist seine Einstellung gegenüber dem Grundeinkommen?,-2.650761357,What is his attitude towards basic income?
24,de,religious,adjective,r________,gläubig,Die ganze Familie ist sehr gläubig und geht regelmäßig in die Kirche.,1.150954842,The whole family is very religious and goes to church regularly.
25,de,shock,verb,s____,entsetzen [nicht: scare],"Heutzutage ist es als Künstler gar nicht mehr so leicht, das Publikum zu entsetzen.",-1.355967472,Nowadays it's no longer so easy as an artist to horrify the audience.
26,de,attend,verb,a_____,"etw besuchen, auf etw sein",Ich besuche die Konferenz im Mai.,-0.187940097,I'm attending the conference in May.
27,de,panel,noun,p____,Team (nicht: team),Ein Expertenteam beurteilt die Eignung der Kandidaten.,-3.620795374,A team of experts assesses the suitability of the candidates.
28,de,slice,noun,s____,Scheibe,Kannst du mir auch bitte noch eine Scheibe Brot abschneiden?,0.781253939,Can you please cut me another slice of bread?
29,de,sperm,noun,s____,"Samen (nicht: semen, seeds)","Wenn Samen auf eine gesunde Eizelle trifft, kommt es zur Befruchtung und ein Baby beginnt zu entstehen.",-0.665605007,"When sperm meets a healthy egg, fertilization occurs and a baby begins."
30,de,vietnamese,adjective,v_________,vietnamesisch,Sie liebt die vietnamesische Küche.,-0.455851144,She loves Vietnamese cuisine.
31,de,murdering,adjective,m________,Mord,Er wurde des Mordes an seiner Frau und seinem Kinde angeklagt.,-2.452214195,He was charged with the murder of his wife and child.
32,de,smile,noun,s____,Lächeln,Sie begrüßten uns mit einem breiten Lächeln in ihren Gesichtern.,3.23037624,They greeted us with big smiles on their faces.
33,de,blinding,adjective,b_______,"blendend, grell",Ich muss die Augen schließen. Das Licht ist grell.,-1.829146773,I have to close my eyes. The light is bright.
34,de,remarkable,adjective,r_________,bemerkenswert,"Das Stück, das gerade im Theater läuft, ist wirklich sehr bemerkenswert.",-0.540535459,The play that is currently running in the theater is really very remarkable.
35,de,chart,noun,c____,"Diagramm, Grafik, grafische Darstellung (nicht: graph)",Die aktuellen Geburtsraten sind in der Grafik auf Seite 19 dargestellt.,-1.580679661,The current birth rates are shown in the graphic on page 19.
36,de,jumper,noun,j_____,Pullover (nicht: pullover),Er zieht einen warmen Pullover über.,-0.684106069,He puts on a warm sweater.
37,de,remind,verb,r_____,erinnern,Das Gebäude erinnert an frühere Zeiten.,0.367602909,The building is reminiscent of earlier times.
38,de,nonsense,noun,n_______,Unfug,Glaubst du den Unfug über Ufos?,0.382553342,Do you believe the nonsense about UFOs?
39,de,stunning,adjective,s_______,atemberaubend,Sie kam in einem atemberaubenden Kleid zur Preisverleihung.,-1.399462542,She arrived at the awards ceremony in a stunning dress.
40,de,tea,noun,t__,Tee,Wie wäre es mit einer Tasse Tee?,2.037427671,How about a cup of tea?
41,de,housekeeping,noun,h___________,Haushalt,Mein Mann und ich teilen uns den Haushalt.,-2.656339942,My husband and I share the household.
42,de,mayor,noun,m____,Bürgermeister,Die Stadt hat eine neue Bürgermeisterin.,-0.937601484,The city has a new mayor.
43,de,countryside,noun,c__________,Land,"Auf dem Land gibt es viele Bauern, die Gemüse anbauen.",0.469227471,There are many farmers in the countryside who grow vegetables.
44,de,lighter,noun,l______,Feuerzeug,Susanne zündet sich die Zigarette mit einem Feuerzeug an.,0.790146502,Susanne lights her cigarette with a lighter.
45,de,drama,noun,d____,Drama,Gestern habe ich ein packendes Fernsehdrama gesehen.,2.487187575,Yesterday I watched a gripping television drama.
46,de,push,verb,p___,schieben,Voller Vorfreude schiebt er den Einkaufswagen durch den Markt.,0.899060632,He pushes the shopping cart through the market full of anticipation.
47,de,unglamorous,adjective,u__________,glanzlos,Das Mittagessen war eine glanzlose Angelegenheit.,-3.561702273,Lunch was a lackluster affair.
48,de,subtle,adjective,s_____,fein,Die Bedeutungsunterschiede zwischen diesen zwei Wörtern ist wirklich sehr fein.,-2.892769889,The difference in meaning between these two words is really very subtle.
49,de,stem,noun,s___,Stamm,Diese Rosen haben einen sehr dicken Stamm.,-1.565453345,These roses have a very thick trunk.
50,de,claim,verb,c____,etw behaupten,"Der Reporter behauptet, dass die Aufstände bereits vorbei wären.",-0.073637248,The reporter claims that the riots are already over.
51,de,inviting,adjective,i_______,"einladend, ansprechend",Der ansprechende Pool lädt zum Verweilen ein.,-0.422869382,The attractive pool invites you to linger.
52,de,aboard,preposition,a_____,an Bord,Der Zug fährt gleich ab. Kommen Sie an Bord!,0.225140572,The train is leaving soon. Come on board!
53,de,carefully,adverb,c________,vorsichtig,Sie ging vorsichtig die Straße entlang.,0.634880408,She walked cautiously down the street.
54,de,separate,verb,s_______,trennen,Der Lehrer trennt die beiden streitenden Schülerinnen und versucht sie zu beruhigen.,-1.150721647,The teacher separates the two arguing students and tries to calm them down.
55,de,hangover,noun,h_______,Kater,Er hat gestern Nacht zu viel getrunken und hat deshalb heute einen Kater.,-0.128627389,He drank too much last night and has a hangover today.
56,de,delegate,noun,d_______,Delegierter,Die Delegierten erschienen pünktlich zur Versammlung.,-0.341267955,The delegates arrived at the meeting on time.
57,de,lock,noun,l___,Schloss,Ich schütze mein Fahrrad mit einem Schloss vor Diebstahl.,1.049578673,I protect my bike from theft with a lock.
58,de,every,misc,e____,jeder,Jede Stunde klingelt die Glocke.,1.498761596,The bell rings every hour.
59,de,terrorist,adjective,t________,"terroristisch, Terror-",Es war der schlimmste Terroranschlag seit langem.,-1.436285385,It was the worst terrorist attack in a long time.
60,de,wonder,verb,w_____,sich (etwas) fragen,"Ich frage mich, warum sie gekündigt hat.",0.990040296,I wonder why she quit.
61,de,hypersensitive,adjective,h_____________,überempfindlich,Die überempfindliche Reaktion der Frau ist nicht nachzuvollziehen.,-1.30462693,The woman's overly sensitive reaction is incomprehensible.
62,de,drop,verb,d___,etw fallen lassen,Die Jugendlichen lassen Steine von der Brücke fallen.,0.281646046,The young people drop stones from the bridge.
63,de,note,verb,n___,etw bemerken,"Ich bemerkte, dass ich meinen Schal verloren hatte.",0.469391675,I realized I had lost my scarf.
64,de,sky,noun,s__,Himmel,"Die Luft ist dermaßen trocken, dass keine einzige Wolke am Himmel zu sehen ist.",2.392998918,The air is so dry that not a single cloud can be seen in the sky.
65,de,sigh,noun,s___,Seufzer,"Als die Wahlergebnisse bekannt wurden, ging ein Seufzer der Erleichterung durch die Menge.",-0.172713646,"When the election results were announced, a sigh of relief went through the crowd."
66,de,scared,adjective,s_____,"bang, ängstlich",Ich habe ihn immer als recht ängstlichen Jungen in Erinnerung.,-1.032633751,I always remember him as a pretty timid boy.
67,de,globally,adverb,g_______,global,"Global gesehen, hat sich die Wirtschaft stark verändert.",0.73008275,"Globally, the economy has changed significantly."
68,de,select,adjective,s_____,ausgewählt,Einige ausgewählte Studierende können an der Exkursion teilnehmen.,-0.214675885,A few selected students can take part in the excursion.
