item_id,L1,en_target_word,en_target_pos,en_target_clue,L1_source_word,L1_context,GLMM_score,en_context
1,es,span,noun,s___,lapso,El eclipse solar fue visible durante un breve lapso de tiempo.,-3.264098675,The solar eclipse was visible for a short period of time.
2,es,radically,adverb,r________,fundamentalmente,Los métodos nuevos son fundamentalmente diferentes a los antiguos.,-1.871782482,New methods are fundamentally different from old ones.
3,es,supermarket,noun,s__________,supermercado,Vamos al supermercado y compramos todo lo que necesitamos durante un mes.,2.733108688,We go to the supermarket and buy everything we need for a month.
4,es,airplane,noun,a_______,avión,El avión despegó tres horas tarde.,0.054736761,The plane took off three hours late.
5,es,trying,adjective,t_____,difícil,"Es un tiempo muy difícil, sin ninguna duda.",-4.086776336,"It is a very difficult time, without a doubt."
6,es,racing,noun,r_____,carreras,¿Te puedes creer que se ha comprado un coche de carreras?,-0.071781525,Can you believe he bought a racing car?
7,es,sleep,verb,s____,dormir,Es importante dormir bien si estás enfermo.,3.682799998,It is important to sleep well if you are sick.
8,es,military,noun,m_______,ejército,El ejército no parecía nada contento con los cambios políticos que se habían producido.,-0.086130207,The army did not seem at all happy with the political changes that had occurred.
9,es,capacity,noun,c_______,cabida,La sala da cabida a dos mil personas.,-1.726755593,The room accommodates two thousand people.
10,es,cane,noun,c___,bastón,Siempre veras a mi abuelo caminando con su bastón,-0.837535429,You will always see my grandfather walking with his cane
11,es,knock,verb,k____,tocar,De repente oímos a alguien tocaba en la ventana.,1.310178301,Suddenly we heard someone knocking on the window.
12,es,hallway,noun,h______,salón,Pablo te está esperando en el pequeño salón de casa.,-2.641865975,Pablo is waiting for you in the small living room of the house.
13,es,displayed,adjective,d________,expuesto,El vestido de novia expuesto en el escaparate era justo el que quería.,-0.756194133,The wedding dress displayed in the window was exactly what I wanted.
14,es,challenging,adjective,c__________,desafiante,La maratón es algo desafiante y sé que lograré acabarla a tiempo,0.049204583,The marathon is challenging and I know I will finish it in time
15,es,missionary,noun,m_________,predicador,Hace tiempo las iglesias enviaban un predicador para convertir a la población a su religión.,-2.800754376,Long ago churches sent a preacher to convert the population to their religion.
16,es,tall,adjective,t___,alto,Mi hermano es mucho más alto que yo.,2.933357109,My brother is much taller than me.
17,es,fade,verb,f___,desteñirse,"Cuidado con esos colores fuertes, tienden a desteñirse al lavarlos.",-1.008161484,"Be careful with those strong colors, they tend to fade when washed."
18,es,street,noun,s_____,calle,Siga por esta calle y después coja la primera a la izquierda.,3.10124216,Continue along this street and then take the first left.
19,es,wrist,noun,w____,muñeca,Ella se puso la pulsera en la muñeca izquierda.,0.46347056,She put the bracelet on her left wrist.
20,es,present,adjective,p______,actual,La propuesta actual es mejor que la anterior.,0.303316021,The current proposal is better than the previous one.
21,es,softball,noun,s_______,softball,Jugaba softball en la universidad y era bastante buena,1.343505823,I played softball in college and was pretty good.
22,es,sit,verb,s__,sentarse,El anfitrión convidó a sus invitados a sentarse a la mesa.,2.764279959,The host invited his guests to sit at the table.
23,es,stance,noun,s_____,postura,El presidente tiene una postura clara sobre el tema.,-2.69899709,The president has a clear position on the issue.
24,es,religious,adjective,r________,religioso,"Lleva una vida religiosa, va a misa todos los días y reza mucho.",1.493624216,"He leads a religious life, goes to mass every day and prays a lot."
25,es,shock,verb,s____,conmocionar,La artista intentará conmocionar al público con su estilo provocativo.,-1.183915521,The artist will try to shock the public with her provocative style.
26,es,attend,verb,a_____,asistir,¿Vas a asistir a la boda de Isabel?,-0.837047643,Are you going to attend Isabel's wedding?
27,es,panel,noun,p____,tablero,Los tableros solares que se pusieron en el techo deben ser revisados mensualmente,0.181859464,The solar panels that were placed on the roof should be checked monthly
28,es,slice,noun,s____,rebanada,"¿Quieres una rabanada de pan, o dos?",0.169952677,"Do you want a slice of bread, or two?"
29,es,sperm,noun,s____,espermatozoide,Para procrear es necesario un óvulo y un espermatozoide,1.002699483,To procreate you need an egg and a sperm.
30,es,vietnamese,adjective,v_________,de Vietnam,Ví una película de Vietnam el otro día y me encantó.,-0.780290806,I saw a Vietnam movie the other day and I loved it.
31,es,murdering,adjective,m________,asesino,El instinito asesino de los terroristas es espantoso.,-2.058731555,The murderous instinct of terrorists is terrifying.
32,es,smile,noun,s____,sonrisa,La sonrisa del niño refleja su temperamento alegre.,2.264398255,The boy's smile reflects his cheerful temperament.
33,es,blinding,adjective,b_______,cegadora,De repente se encendió una luz cegadora y no veíamos nada.,-0.501947669,Suddenly a blinding light came on and we couldn't see anything.
34,es,remarkable,adjective,r_________,destacable,Mi hijo tiene un talento destacable para las matemáticas.,-0.982438637,My son has a remarkable talent for mathematics.
35,es,chart,noun,c____,gráfico,Este gráfico muestra las temperaturas de todo el año en la zona.,-0.169835057,This graph shows year-round temperatures in the area.
36,es,jumper,noun,j_____,jersey,Me voy a comprar un jersey rojo de lana.,-1.951160685,I'm going to buy a red wool sweater.
37,es,remind,verb,r_____,recordar,Tuve que recordar a la profesora que teníamos ensayo después de clase.,-0.294589386,I had to remind the teacher that we had rehearsal after class.
38,es,nonsense,noun,n_______,tonterías,Esos rumores son tonterías y no me creo nada.,-0.21216982,These rumors are nonsense and I don't believe anything.
